,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
11,10,梶谷　隆幸,(デ),.275,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,0,132,4,.425,.342
12,11,新井　貴浩,(広),.275,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,.385,.348
13,12,田中　広輔,(広),.274,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,.413,.325
14,13,ゴメス,(神),.271,143,601,520,49,141,28,0,17,220,72,0,1,0,3,72,1,6,134,15,.423,.364
15,14,エルナンデス,(中),.271,138,548,498,54,135,27,2,11,199,58,5,3,10,4,35,1,0,106,13,.400,.317
16,15,雄平,(ヤ),.270,141,585,551,57,149,33,4,8,214,60,7,4,1,3,27,1,3,82,7,.388,.307
17,16,坂本　勇人,(巨),.269,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,.401,.353
18,17,畠山　和洋,(ヤ),.268,137,584,512,64,137,26,0,26,241,105,0,0,0,8,62,0,2,92,10,.471,.344
19,18,大島　洋平,(中),.260,142,620,565,70,147,20,4,6,193,27,22,8,10,1,39,1,5,65,5,.342,.313
20,19,バルディリス,(デ),.258,139,525,465,38,120,23,0,13,182,56,0,0,0,5,43,2,12,62,12,.391,.333
21,20,菊池　涼介,(広),.254,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,.343,.292
22,21,上本　博紀,(神),.253,108,452,375,44,95,18,1,4,127,31,19,11,29,0,44,1,4,69,1,.339,.338
23,22,長野　久義,(巨),.251,130,479,434,49,109,20,3,15,180,52,3,2,5,2,34,0,4,81,12,.415,.310
24,23,丸　佳浩,(広),.249,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,.413,.361
25,24,中村　悠平,(ヤ),.231,136,502,442,36,102,14,0,2,122,33,3,2,14,2,40,1,4,80,9,.276,.299
2,1,柳田　悠岐,(ソ),.363,138,605,502,110,182,31,1,34,317,99,32,8,0,1,88,4,14,101,9,.631,.469
3,2,秋山　翔吾,(西),.359,143,675,602,108,216,36,10,14,314,55,17,17,7,2,60,2,4,78,6,.522,.419
4,3,近藤　健介,(日),.326,129,504,435,68,142,33,2,8,203,60,6,2,3,5,59,2,2,59,9,.467,.405
5,4,清田　育宏,(ロ),.317,130,548,489,67,155,38,4,15,246,67,10,4,0,2,54,0,3,93,11,.503,.387
6,5,中村　晃,(ソ),.300,135,590,506,58,152,22,0,1,177,39,7,4,9,3,66,0,6,47,7,.350,.386
7,6,角中　勝也,(ロ),.293,111,484,427,57,125,20,5,6,173,52,8,4,7,2,47,0,1,52,12,.405,.363
8,7,松田　宣浩,(ソ),.287,143,603,533,91,153,22,2,35,284,94,8,10,0,8,60,3,2,135,17,.533,.357
9,8,森　友哉,(西),.287,138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,3,9,143,5,.468,.357
10,9,田中　賢介,(日),.284,134,596,532,62,151,20,2,4,187,66,9,3,5,1,57,0,1,58,9,.352,.354
11,10,内川　聖一,(ソ),.284,136,585,529,60,150,24,1,11,209,82,1,0,0,7,45,2,4,55,24,.395,.340
12,11,李　大浩,(ソ),.282,141,584,510,68,144,30,0,31,267,98,0,1,0,3,62,0,9,109,17,.524,.368
13,12,中村　剛也,(西),.278,139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,4,7,172,12,.559,.367
14,13,西川　遥輝,(日),.276,125,521,442,68,122,18,9,5,173,35,30,7,15,0,60,2,4,98,1,.391,.368
15,14,藤田　一也,(楽),.270,111,451,392,38,106,14,1,5,137,43,8,3,16,7,28,2,8,30,3,.349,.326
16,15,浅村　栄斗,(西),.270,141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,0,12,136,13,.385,.362
17,16,ペーニャ,(楽),.268,125,492,406,51,109,20,1,17,182,40,1,3,0,0,70,0,16,111,5,.448,.396
18,17,栗山　巧,(西),.268,142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,0,5,88,15,.371,.358
19,18,中島　卓也,(日),.264,143,617,515,69,136,8,2,0,148,39,34,7,34,0,66,0,2,93,10,.287,.350
20,19,中田　翔,(日),.263,143,611,539,72,142,26,0,30,258,102,1,0,0,7,64,4,1,120,11,.479,.339
21,20,鈴木　大地,(ロ),.263,142,564,487,60,128,24,4,6,178,50,1,5,24,3,47,1,3,58,10,.366,.330
22,21,糸井　嘉男,(オ),.262,132,565,484,61,127,22,0,17,200,68,11,4,0,1,72,2,8,78,10,.413,.366
23,22,松井　稼頭央,(楽),.256,126,501,445,52,114,17,1,10,163,48,14,2,7,3,43,3,3,82,7,.366,.324
24,23,クルーズ,(ロ),.255,133,532,501,48,128,23,1,16,201,73,0,0,0,5,24,1,2,66,7,.401,.289
